Track Name,Artist,Album,Release Date,Spotify Duration (ms),Spotify Track URL,YouTube Original Video URL,Original Duration,YouTube Piano Solo Video URL,Piano Solo Duration
Velha Infância - 2004 Digital Remaster,Tribalistas,Tribalistas,2002-01-01,250440,https://open.spotify.com/track/1mSxbLW7fKABfeY4lGpg0E,,,https://www.youtube.com/watch?v=YcOyefoJec0,PT2M26S
Trem-Bala,Ana Vilela,Trem-Bala,2017-05-12,180319,https://open.spotify.com/track/05QeyKGAn4TZrv41tMiD1A,https://www.youtube.com/watch?v=sWhy1VcvvgY,PT3M1S,https://www.youtube.com/watch?v=viD675PkeW0,PT3M3S
Aliança,Tribalistas,Tribalistas,2017,237421,https://open.spotify.com/track/1DLKuppSYytOuxhtI6KBGu,https://www.youtube.com/watch?v=moINq-uxPtY,PT4M2S,https://www.youtube.com/watch?v=I1kwd-UDuec,PT3M47S
O Que É O Que É?,Gonzaguinha,Caminhos Do Coração,1982-08-13,258986,https://open.spotify.com/track/2CoKGyZavJWTFUPyvWoj0b,https://www.youtube.com/watch?v=mWCgqORtgZA,PT1M1S,https://www.youtube.com/watch?v=KLeiK0whCdY,PT5M21S
A Banda,Chico Buarque,Chico Buarque de Hollanda,1966-01-01,131000,https://open.spotify.com/track/6wUp7y502iyWLuLuurlOyw,https://www.youtube.com/watch?v=k76emcqLJgI,PT3M13S,https://www.youtube.com/watch?v=a7ouDfay0Ug,PT3M20S
"É Preciso Dar Um Jeito, Meu Amigo",Erasmo Carlos,"Carlos, Erasmo [Versão Com Bônus (1971)]",1971-01-01,227040,https://open.spotify.com/track/1V1taPaEp2dntrUKCAnnw5,,,,
Mina do Condomínio,Seu Jorge,America Brasil,2007-01-01,400626,https://open.spotify.com/track/6Vfcu5p7cPcoVImKJ4gBhI,,,,
Construção,Chico Buarque,Construção,1971-01-01,383626,https://open.spotify.com/track/3FIuBxOxuQ6kYy8JO0gq2a,https://www.youtube.com/watch?v=LxlpznmRtsw,PT1M55S,https://www.youtube.com/watch?v=dDKjYB4GPUs,PT2M44S
Chão de Giz,Zé Ramalho,Antologia Acústica,1997-03-04,271226,https://open.spotify.com/track/4XYdH6H7haUCeEm9YezQ9K,https://www.youtube.com/watch?v=nL_QNpNOssI,PT4M47S,https://www.youtube.com/watch?v=CyIV9tBDQKk,PT4M42S
Salmos 91,João Luiz,Salmos 91,2024-02-09,150126,https://open.spotify.com/track/1maEyjwI9FQwcGgywLSt48,https://www.youtube.com/watch?v=OX2EjvxWqE0,PT12M39S,https://www.youtube.com/watch?v=nJKr6cOt2XY,PT4M54S
