Track Name,Artist,Album,Release Date,Popularity,Duration (ms),Track URL,Piano Solo Video,Duration (min:sec)
Velha Infância - 2004 Digital Remaster,Tribalistas,Tribalistas,2002-01-01,68,250440,https://open.spotify.com/track/1mSxbLW7fKABfeY4lGpg0E,https://www.youtube.com/watch?v=iyJDuJggiEM,4:10
Trem-Bala,Ana Vilela,Trem-Bala,2017-05-12,54,180319,https://open.spotify.com/track/05QeyKGAn4TZrv41tMiD1A,https://www.youtube.com/watch?v=viD675PkeW0,3:00
Aliança,Tribalistas,Tribalistas,2017,62,237421,https://open.spotify.com/track/1DLKuppSYytOuxhtI6KBGu,https://www.youtube.com/watch?v=ovtysEjRCsM,3:57
O Que É O Que É?,Gonzaguinha,Caminhos Do Coração,1982-08-13,57,258986,https://open.spotify.com/track/2CoKGyZavJWTFUPyvWoj0b,https://www.youtube.com/watch?v=Z4C7oyXq9Kk,4:18
A Banda,Chico Buarque,Chico Buarque de Hollanda,1966-01-01,51,131000,https://open.spotify.com/track/6wUp7y502iyWLuLuurlOyw,https://www.youtube.com/watch?v=mS_U7hlu18A,2:11
"É Preciso Dar Um Jeito, Meu Amigo",Erasmo Carlos,"Carlos, Erasmo [Versão Com Bônus (1971)]",1971-01-01,60,227040,https://open.spotify.com/track/1V1taPaEp2dntrUKCAnnw5,https://www.youtube.com/watch?v=FuZ0OdtK3P8,3:47
Mina do Condomínio,Seu Jorge,America Brasil,2007-01-01,60,400626,https://open.spotify.com/track/6Vfcu5p7cPcoVImKJ4gBhI,https://www.youtube.com/watch?v=Tv9MR550-MI,6:40
Construção,Chico Buarque,Construção,1971-01-01,59,383626,https://open.spotify.com/track/3FIuBxOxuQ6kYy8JO0gq2a,https://www.youtube.com/watch?v=dDKjYB4GPUs,6:23
Salmos 91,João Luiz,Salmos 91,2024-02-09,0,150126,https://open.spotify.com/track/1maEyjwI9FQwcGgywLSt48,https://www.youtube.com/watch?v=nJKr6cOt2XY,2:30
Você Não Me Ensinou a Te Esquecer,Caetano Veloso,Lisbela e o Prisioneiro (Trilha Sonora),2003-07-01,51,273293,https://open.spotify.com/track/3ab7KnHf7J35kq9cuunBqO,https://www.youtube.com/watch?v=Sz8pO7IEoTI,4:33
Chão de Giz,Zé Ramalho,Antologia Acústica,1997-03-04,62,271226,https://open.spotify.com/track/4XYdH6H7haUCeEm9YezQ9K,https://www.youtube.com/watch?v=CyIV9tBDQKk,4:31
Burguesinha,Seu Jorge,America Brasil,2007-01-01,60,258186,https://open.spotify.com/track/5iEEpVPlnH41wyAsYcON7w,https://www.youtube.com/watch?v=_yMF9WiHTkc,4:18
Aquarela,Toquinho,Aquarela,1983-01-01,57,258506,https://open.spotify.com/track/4LhxdvP3lfgH3ciOyO1BX1,https://www.youtube.com/watch?v=4udHwF4oc5I,4:18
Oceano,Djavan,Djavan,1989-03-25,62,296106,https://open.spotify.com/track/3iof6EclqePezHDibBiykI,https://www.youtube.com/watch?v=yWY0JKsXvLw,4:56
Deus Me Proteja,Chico César,francisco forró y frevo,2008-01-01,54,293509,https://open.spotify.com/track/4Ijct6HkKsC9HQVgcnMe7C,https://www.youtube.com/watch?v=d4ZkG8Hf2g0,4:53
Água-viva,ANAVITÓRIA,Esquinas,2024-12-12,61,168644,https://open.spotify.com/track/48MtQ4Ys6eqpsw0I5cyXNt,https://www.youtube.com/watch?v=4W5TKWVDwEc,2:48
Oração de São Francisco de Assis,Fagner,O Quinze (Versão com faixas bônus),1989,39,184440,https://open.spotify.com/track/5hJjJBBWCy5TquAMoZjGVi,https://www.youtube.com/watch?v=FJa2VgOb4SE,3:04
Sina,Djavan,Luz,1982-03-25,54,332133,https://open.spotify.com/track/2kgT6sMwXd3mdeXhBbLMQe,https://www.youtube.com/watch?v=kJOiYGmYYlE,5:32
